"V1","V2","V3","V4"
34,126,0,1
12,184,0,0
120,109,0,1
196,64,0,1
167,8,0,0
180,78,0,0
61,138,0,0
98,17,0,0
57,169,1,0
168,172,0,1
79,122,0,0
101,172,0,1
117,44,1,0
172,24,1,0
147,193,0,0
8,184,0,0
167,95,0,0
150,149,1,1
34,30,0,0
181,142,0,0
88,122,0,0
129,62,0,1
98,62,0,1
127,31,0,1
159,33,0,0
46,157,1,0
122,31,0,1
34,51,0,0
55,79,0,0
56,38,0,1
73,91,0,1
99,118,0,0
61,99,0,0
8,5,0,1
123,96,1,0
68,198,1,0
73,24,0,0
141,124,0,0
102,178,1,0
53,125,0,0
34,66,0,0
69,7,0,1
122,32,0,0
103,21,0,1
120,141,0,0
93,27,1,0
137,123,0,1
114,193,0,0
143,87,0,0
45,168,0,0
14,55,0,0
18,35,0,0
64,76,1,0
194,186,0,0
65,163,0,1
46,135,1,1
117,51,1,0
33,86,0,0
46,116,1,0
4,46,1,1
38,116,1,0
133,144,0,1
123,18,1,0
159,12,0,0
76,53,0,0
52,155,0,0
106,168,0,0
128,28,1,1
56,189,0,0
25,35,0,0
115,121,1,1
174,21,0,1
95,56,0,0
196,62,0,1
173,107,0,0
75,9,0,1
189,152,0,0
1,68,0,1
5,91,1,1
79,142,0,0
58,4,0,1
34,25,0,0
62,177,1,0
79,30,0,0
26,148,0,0
45,109,0,1
150,16,1,0
28,140,1,0
19,174,0,0
173,174,0,0
112,124,0,0
161,18,0,0
12,161,0,0
54,66,0,0
182,187,0,0
37,121,0,1
173,175,0,1
61,22,0,0
11,140,1,0
12,78,0,0
56,133,0,0
120,182,0,0
180,106,0,0
12,115,0,1
143,3,0,0
142,192,0,1
181,141,0,0
50,49,0,0
34,141,0,0
29,142,0,0
30,92,0,1
142,17,0,0
109,67,1,0
87,4,0,1
106,40,0,0
163,70,1,0
21,60,1,1
59,112,0,0
60,6,1,0
15,155,0,0
164,146,0,1
5,186,1,0
14,20,0,0
172,86,1,0
62,39,1,0
131,142,0,0
198,15,0,0
101,82,0,0
173,81,0,0
11,154,1,1
191,130,0,0
8,39,0,0
60,43,1,0
91,97,1,0
54,34,0,0
124,86,0,0
78,126,0,1
31,119,1,0
34,153,0,0
187,132,0,0
8,122,0,0
197,97,0,0
109,46,1,1
70,171,0,0
37,59,0,0
65,42,0,0
98,116,0,0
58,85,0,0
117,155,1,0
158,1,0,0
176,143,1,0
74,200,0,0
97,82,0,0
14,152,0,0
42,172,0,1
161,49,0,0
2,58,0,0
195,146,1,1
67,65,0,0
174,69,0,0
40,97,0,0
191,35,0,0
113,175,0,1
143,173,0,0
25,95,0,0
105,97,0,0
170,34,1,0
3,96,0,0
42,164,0,0
24,149,0,1
82,6,0,0
154,153,1,0
85,190,0,1
177,48,0,0
198,69,0,0
92,108,1,0
134,98,1,0
2,153,0,0
190,154,1,1
51,166,0,0
112,60,0,1
170,88,1,0
144,7,1,1
129,184,0,0
162,115,0,1
65,52,0,0
144,153,1,0
38,23,1,1
127,190,0,1
193,179,0,0
27,21,0,1
13,148,1,0
18,150,0,1
102,188,1,0
88,28,0,1
162,82,0,0
116,200,0,0
16,154,0,1
147,55,0,0
52,54,0,0
67,166,0,0
132,181,0,0
85,183,0,1
17,144,0,1
3,133,0,0
76,163,0,1
17,196,0,0
46,124,1,0
155,171,0,0
36,47,0,0
151,9,1,1
109,19,1,0
126,32,1,0
111,66,0,0
73,16,0,0
139,126,0,1
57,126,1,1
113,178,0,0
185,19,0,0
14,113,0,0
102,113,1,0
179,188,0,0
82,138,0,0
9,67,1,0
131,132,0,0
186,50,0,0
84,146,0,1
52,162,0,0
50,36,0,0
62,117,1,1
33,118,0,0
172,120,1,0
66,19,0,0
24,140,0,0
126,58,1,0
136,46,0,1
161,156,0,0
36,158,0,0
190,179,1,0
115,39,1,0
40,191,0,0
176,84,1,0
116,155,0,0
171,47,0,0
30,193,0,0
130,141,0,0
68,186,1,0
161,174,0,0
102,175,1,1
118,196,0,0
56,109,0,1
43,28,0,1
50,77,0,0
174,66,0,0
122,51,0,0
74,128,0,1
68,118,1,0
98,191,0,0
45,52,0,0
115,124,1,0
14,51,0,0
177,141,0,0
64,176,1,1
188,124,0,0
199,116,0,0
166,87,0,0
18,168,0,0
179,187,0,0
30,102,0,1
31,117,1,1
7,83,1,0
107,11,0,1
196,111,0,0
191,42,0,0
101,176,0,1
182,67,0,0
151,166,1,0
120,186,0,0
55,146,0,1
35,71,0,0
187,67,0,0
158,71,0,0
77,72,0,0
121,105,1,0
174,135,0,1
165,186,0,0
76,161,0,0
85,135,0,1
124,112,0,0
50,189,0,0
193,140,0,0
175,17,1,0
37,8,0,0
44,112,0,0
100,15,1,0
170,172,1,1
158,36,0,0
126,181,1,0
106,179,0,0
196,197,0,0
185,190,0,1
127,50,0,0
42,191,0,0
184,54,0,0
77,75,0,0
127,17,0,0
2,194,0,0
173,78,0,0
167,102,0,1
166,63,0,1
196,15,0,0
51,168,0,0
187,24,0,0
91,64,1,1
161,112,0,0
185,76,0,0
88,47,0,0
36,15,0,0
94,69,1,0
93,10,1,0
180,129,0,0
41,52,0,0
54,57,0,1
148,134,0,1
182,80,0,1
147,32,0,0
123,129,1,0
119,180,0,0
88,5,0,1
19,17,0,0
146,55,1,0
152,33,0,0
165,145,0,0
25,197,0,0
26,42,0,0
27,5,0,1
30,33,0,0
51,10,0,0
180,25,0,0
93,136,1,0
40,79,0,0
46,62,1,1
106,181,0,0
67,9,0,1
120,143,0,0
59,181,0,0
145,152,0,0
200,47,0,0
193,96,0,0
115,66,1,0
16,47,0,0
194,19,0,0
6,180,0,0
99,162,0,0
