"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
30,48,50,20,29,38,43,30,38,36,25,48,32,12,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,14,41,15,36,46,34,23,7,6,28,26,47,25,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,16,15,3,14,47,37,39,29,1,49,50,2,31,47,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
46,50,30,21,35,28,4,9,41,25,4,39,4,22,13,13,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0
19,49,4,9,38,26,11,45,13,16,43,4,37,44,16,25,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
20,41,39,24,1,35,20,14,21,5,11,28,15,44,14,50,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
34,24,46,12,17,4,6,50,10,9,42,31,24,8,13,39,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
14,3,49,9,47,40,42,17,41,19,10,31,11,17,14,13,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0
45,8,50,8,29,31,44,15,45,47,37,39,10,31,35,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,20,3,43,5,21,44,33,18,23,48,49,25,45,30,49,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28,25,37,1,41,30,38,42,9,48,38,24,18,12,11,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
23,26,20,15,12,4,45,28,24,30,29,38,13,20,10,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,9,28,3,36,10,17,18,32,6,16,38,44,42,19,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8,12,45,13,29,2,26,49,4,10,1,34,31,50,28,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,42,41,41,39,13,41,20,31,41,34,35,29,35,44,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
12,47,35,39,6,4,19,46,11,37,6,24,40,42,44,28,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
17,47,2,42,19,34,19,2,7,35,41,2,49,44,4,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
33,26,30,25,13,18,3,14,4,30,36,48,5,40,17,36,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
40,1,24,50,50,46,47,2,16,45,31,44,27,46,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,14,1,25,39,42,26,50,20,20,2,2,11,25,12,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,17,22,4,1,8,48,16,35,23,20,38,23,15,14,39,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
27,42,24,2,48,39,18,32,28,47,46,9,34,34,8,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,42,20,17,25,36,22,40,13,2,49,4,18,21,45,41,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
44,11,3,5,33,47,8,38,5,15,3,16,23,40,3,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
