"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3,43,19,29,32,20,5,42,1,0,0,0,0,0,1,1
5,18,22,23,8,19,20,2,1,1,0,1,0,0,0,0
28,10,5,48,43,50,1,41,0,0,1,0,0,0,0,0
28,10,19,20,26,43,33,25,0,0,0,0,1,0,0,0
3,1,33,45,28,40,47,26,1,0,0,0,0,0,0,1
45,11,47,45,43,46,4,11,0,1,0,0,0,0,0,1
6,41,16,43,31,13,26,40,0,0,0,0,0,0,1,0
46,26,3,12,48,32,9,13,0,1,1,0,0,0,0,0
18,36,3,37,8,15,27,1,1,0,1,0,0,0,0,0
42,41,10,34,27,44,13,20,1,0,0,0,0,1,0,0
41,4,41,8,25,18,23,40,0,0,0,0,0,1,1,0
15,4,20,17,11,46,32,7,0,0,0,0,1,0,0,0
8,25,23,36,44,6,17,28,0,0,1,0,1,0,0,0
13,8,36,42,6,46,41,5,0,0,0,1,0,0,0,1
31,9,1,28,6,28,38,21,0,0,0,0,0,0,0,1
35,18,38,8,9,31,44,44,0,1,0,0,0,0,1,1
43,14,24,10,20,2,42,43,0,0,0,0,0,0,1,0
50,4,37,44,32,22,9,41,0,0,0,1,0,0,0,0
39,33,1,48,16,40,46,19,0,0,0,0,0,0,0,0
32,2,26,32,11,49,4,9,0,0,1,0,1,0,0,0
33,49,19,8,6,28,34,34,0,0,0,0,0,0,0,0
23,27,29,3,12,46,8,27,1,0,0,1,0,0,0,0
12,22,44,17,5,6,40,44,0,0,1,0,1,0,0,1
9,40,16,50,4,42,16,46,0,0,0,0,0,1,0,0
33,3,4,48,11,19,28,22,0,1,0,0,1,0,0,0
50,21,14,14,46,34,39,44,0,1,0,0,0,0,0,1
47,13,42,7,41,44,24,46,0,0,1,0,0,1,0,0
26,34,1,19,7,19,46,38,1,0,0,0,0,0,0,0
49,13,33,41,48,38,31,21,0,0,0,0,0,0,0,1
15,5,44,19,42,34,34,38,0,1,1,0,1,0,0,0
18,25,21,21,38,44,37,24,1,0,1,1,0,1,0,0
47,2,48,36,43,10,1,13,0,0,0,0,0,0,0,0
5,12,1,17,5,45,40,34,1,0,0,0,1,0,0,0
47,36,17,41,29,6,14,33,0,0,0,0,0,0,0,0
40,41,43,37,9,45,12,44,0,0,0,0,0,0,0,1
33,1,22,18,9,18,7,27,0,0,0,1,0,1,0,0
31,43,4,25,21,37,41,4,0,0,0,0,1,0,0,0
50,27,27,37,6,13,50,19,0,0,0,0,0,0,0,0
32,22,9,7,16,45,28,20,0,0,0,0,0,0,0,0
19,16,21,43,45,4,48,23,0,0,1,0,0,0,0,1
15,30,14,25,19,27,15,5,0,0,0,0,0,0,0,1
31,7,38,11,43,35,16,26,0,0,0,1,0,0,0,1
23,35,6,38,26,33,47,40,1,0,0,0,1,0,0,0
29,30,21,12,29,10,7,43,0,0,1,0,0,0,0,0
49,7,48,4,2,47,12,44,0,0,0,0,0,0,0,1
13,33,44,16,41,24,2,34,0,0,1,0,0,0,0,0
21,46,47,49,41,25,3,27,1,0,0,0,0,0,1,0
28,12,42,16,46,48,22,41,0,0,1,0,0,0,0,0
33,12,50,2,44,47,23,30,0,0,0,0,1,0,1,0
18,47,12,18,50,23,50,41,1,0,0,1,0,1,0,0
47,37,14,13,16,20,33,32,0,0,0,0,0,0,0,0
40,49,33,14,50,48,21,7,0,0,0,0,0,0,1,0
6,26,27,25,6,1,5,3,0,1,0,0,0,0,1,1
42,42,8,34,43,13,16,43,1,1,0,0,0,0,0,0
26,8,7,9,7,15,26,11,1,0,0,0,0,0,1,1
38,13,45,19,13,34,36,41,0,0,0,0,0,0,0,0
6,2,40,49,1,14,36,6,0,0,0,0,0,0,0,0
4,40,8,5,35,34,30,13,0,0,0,1,0,0,0,0
6,27,50,29,13,10,41,8,0,0,0,0,0,0,0,0
49,5,19,47,6,42,47,48,0,1,0,0,0,1,0,0
36,15,19,37,37,22,8,26,0,0,0,0,0,0,0,1
31,13,17,7,25,17,50,24,0,0,0,0,0,0,0,0
17,21,46,4,9,11,48,29,0,1,0,0,0,1,0,0
44,14,22,12,3,3,21,12,1,0,0,0,1,1,1,0
6,27,36,7,50,13,25,21,0,0,0,0,0,0,0,1
22,26,14,28,3,4,18,6,0,1,0,0,1,0,1,0
8,31,47,33,38,27,40,32,0,0,0,0,0,0,0,0
33,32,9,42,30,5,8,21,0,0,0,1,0,1,0,1
41,48,35,31,49,8,7,15,0,0,0,0,0,0,0,0
28,25,41,14,36,8,30,19,0,0,0,0,0,0,0,0
14,25,11,35,32,26,11,49,0,0,1,0,0,1,1,0
13,7,31,18,24,49,38,43,0,0,0,1,0,0,0,0
6,24,38,1,23,48,32,38,0,0,0,0,1,0,0,0
2,10,15,40,15,4,42,3,0,0,0,0,0,0,1,1
34,17,38,45,1,42,35,39,0,0,0,0,0,1,0,0
29,21,40,18,35,3,44,13,0,1,0,1,0,1,1,0
34,43,5,8,47,36,29,2,0,0,1,0,0,0,0,0
49,13,42,32,27,38,44,28,0,0,1,0,0,0,1,0
43,45,34,44,17,2,6,8,0,0,0,1,0,0,0,0
42,40,12,34,28,22,15,33,1,0,0,0,0,0,0,0
12,16,45,24,14,36,46,5,0,0,0,0,0,0,0,1
49,24,43,6,30,1,42,33,0,0,0,0,0,0,1,0
1,47,19,43,23,48,24,39,0,0,0,0,1,0,0,0
9,36,21,28,41,35,6,44,0,0,1,0,0,0,0,1
12,2,22,48,13,25,30,20,0,0,0,0,0,0,0,0
39,16,42,27,36,46,28,30,0,0,1,0,0,0,0,0
26,6,18,10,8,46,35,46,1,0,1,0,0,0,0,0
20,37,40,6,11,16,33,5,0,0,0,0,1,0,0,1
16,16,31,43,48,26,4,7,0,0,0,0,0,1,0,0
11,44,12,4,30,26,19,46,1,1,0,0,0,1,0,0
21,31,12,4,30,44,28,46,1,0,0,0,0,1,0,0
44,5,15,43,38,25,4,10,1,1,0,0,0,0,0,0
10,9,8,18,25,26,26,42,0,0,0,1,0,1,1,1
29,41,11,18,15,28,25,30,0,0,1,1,0,0,0,0
