"V1","V2","V3"
1,14,203
2,70,212
3,148,207
4,203,203
5,147,202
6,74,197
7,139,206
8,208,208
9,63,191
10,17,206
11,11,220
12,76,196
13,179,179
14,139,211
15,8,247
16,215,215
17,10,216
18,59,179
19,127,181
20,32,184
21,6,194
22,60,200
23,71,194
24,31,212
25,142,218
26,17,202
27,32,209
28,14,227
29,192,192
30,31,196
31,60,181
32,60,190
33,6,198
34,192,192
35,64,192
36,133,196
37,135,195
38,47,206
39,70,195
40,198,198
41,151,207
42,75,194
43,60,172
44,12,194
45,11,187
46,15,216
47,134,194
48,205,205
49,119,177
50,16,204
