cd_llh_traces,node_traces,bignodes_traces,unnormpost_traces,depth_traces,base_value_traces,std_traces,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
-536.52783464763843,3.0,3.0,-685.27739878360069,2.0,3.8949405812990037,3.0260906545857287,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16215257985886325,0.82833668616046374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-535.34252985242153,3.0,3.0,-679.48922321142913,2.0,3.5251134731685578,3.3402994499919334,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162936101192465,0.6835912821492145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-538.53202299427107,3.0,3.0,-685.3550198344542,2.0,4.6678499846460095,5.1651222952052498,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19314030453047962,0.79811380641221585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-529.2100591875826,3.0,3.0,-679.70983610887424,2.0,5.043731303962578,4.5545869272215365,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27886989241193244,0.71725609006016477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-532.30267848986705,3.0,3.0,-682.63626880428774,2.0,5.0270714341131537,5.1411360401235253,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15309096841124278,0.84388008577212648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-531.93962827606424,3.0,3.0,-681.24256827464728,2.0,3.8375032840255727,4.2304118131571915,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25716825329092924,0.7401397040743567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-535.37467317565938,5.0,3.0,-714.34099546352593,3.0,2.9824527375763834,5.3627663288368801,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23929278742666185,0.74242115404418729,0.0044017383050348486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-536.10637881683772,6.0,4.0,-716.42734962780662,3.0,3.9950879764426617,5.6989447217824214,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26569678330235963,0.72868544876773744,0.0024951679770301286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-537.11758045714316,7.0,3.0,-747.2764366465027,3.0,6.2991790202114739,6.4887996407305746,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15676772257860716,0.8288693525206039,0.0066895967605255686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-529.92873877363536,6.0,3.0,-737.88814861217304,3.0,4.606121577060498,6.6860589320949479,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26663130576956656,0.71704169188858646,0.0066254203122791001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-548.65677449702719,6.0,5.0,-781.76798447094927,3.0,5.0320694216398127,4.4367435120728889,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28652120054814079,0.68705240115193944,0.024119747602707346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-540.33523377007475,6.0,4.0,-772.07983982765268,3.0,4.1624784696745465,6.3209652670727268,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13423077214684476,0.8332385554573658,0.016572968269204801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
