"V1","V2","V3","V4"
12,44,1,1
18,9,1,0
15,12,0,1
41,18,1,1
48,50,0,0
21,37,1,0
38,20,1,1
1,3,0,0
42,41,0,1
8,48,1,0
19,5,1,0
27,9,1,0
26,24,1,1
27,9,1,0
32,46,0,1
15,44,0,1
1,33,0,0
33,12,0,1
12,43,1,0
20,15,1,0
50,24,0,1
19,24,1,1
21,39,1,0
34,46,1,1
17,32,0,0
9,21,0,1
27,18,1,1
22,20,1,1
16,2,1,1
22,42,1,0
47,6,0,1
30,30,0,0
38,49,1,0
7,46,0,1
37,9,0,0
13,34,0,1
21,22,1,1
10,2,0,1
40,4,0,1
12,49,1,0
33,9,0,0
30,6,0,1
46,24,1,1
26,39,1,0
37,42,0,0
23,27,1,1
15,33,0,0
34,22,1,1
36,49,1,0
36,11,1,0
29,38,0,1
22,21,1,1
6,3,1,0
4,14,1,0
15,6,0,1
16,23,1,1
15,29,0,0
2,14,1,0
50,4,0,1
5,1,0,0
10,15,0,0
5,17,0,0
34,47,1,0
47,4,0,1
29,24,0,1
43,16,0,1
50,41,0,1
7,15,0,0
49,23,0,1
23,21,1,1
27,6,1,1
29,34,0,1
6,25,1,0
18,15,1,0
33,17,0,0
45,25,0,0
30,46,0,1
33,31,0,0
21,29,1,0
16,6,1,1
6,7,1,0
16,49,1,0
26,43,1,0
13,13,0,0
23,34,1,1
36,7,1,0
2,48,1,0
36,50,1,0
26,38,1,1
49,39,0,0
45,22,0,1
12,25,1,0
17,40,0,0
10,29,0,0
30,5,0,0
24,24,1,1
22,23,1,1
22,18,1,1
43,41,0,1
34,50,1,0
37,43,0,0
7,15,0,0
16,4,1,1
47,42,0,0
16,23,1,1
13,50,0,0
12,13,1,0
33,12,0,1
11,2,0,1
19,31,1,0
26,42,1,0
39,19,0,1
46,22,1,1
6,12,1,1
2,40,1,0
15,7,0,0
13,32,0,0
33,14,0,0
45,13,0,0
32,41,0,1
14,13,0,0
29,15,0,0
49,27,0,1
12,44,1,1
4,38,1,1
44,26,1,1
39,24,0,1
28,23,0,1
34,30,1,0
3,7,0,0
33,22,0,1
36,23,1,1
16,21,1,1
21,1,1,0
2,5,1,0
45,31,0,0
1,21,0,1
46,14,1,0
5,6,0,1
23,40,1,0
44,35,1,1
49,39,0,0
10,14,0,0
18,9,1,0
43,38,0,1
37,20,0,1
35,19,1,1
2,48,1,0
11,36,0,1
30,10,0,0
29,48,0,0
29,35,0,1
29,21,0,1
35,30,1,0
1,17,0,0
32,14,0,0
29,5,0,0
35,31,1,0
8,27,1,1
25,39,0,0
37,30,0,0
35,25,1,0
50,22,0,1
20,25,1,0
45,48,0,0
35,16,1,1
3,32,0,0
48,16,0,1
36,24,1,1
7,36,0,1
37,6,0,1
36,32,1,0
27,2,1,1
40,19,0,1
21,40,1,0
38,35,1,1
21,23,1,1
42,5,0,0
21,33,1,0
44,49,1,0
27,8,1,1
10,31,0,0
32,2,0,1
27,9,1,0
40,47,0,0
3,50,0,0
34,29,1,0
46,40,1,0
12,50,1,0
35,31,1,0
15,7,0,0
30,25,0,0
8,25,1,0
37,37,0,0
23,41,1,1
43,21,0,1
27,16,1,1
48,43,0,0
35,16,1,1
4,26,1,1
44,45,1,0
49,50,0,0
16,49,1,0
32,32,0,0
15,17,0,0
36,13,1,0
31,11,0,0
38,10,1,0
17,47,0,0
47,6,0,1
21,45,1,0
4,25,1,0
19,19,1,1
3,26,0,1
45,34,0,1
32,5,0,0
46,7,1,0
9,33,0,0
47,47,0,0
50,19,0,1
7,9,0,0
22,11,1,0
22,39,1,0
37,4,0,1
13,25,0,0
4,8,1,1
29,12,0,1
8,21,1,1
50,3,0,0
34,1,1,0
24,12,1,1
5,49,0,0
48,17,0,0
43,49,0,0
30,19,0,1
6,27,1,1
13,40,0,0
19,44,1,1
39,27,0,1
24,20,1,1
32,39,0,0
50,36,0,1
50,36,0,1
6,47,1,0
38,16,1,1
24,8,1,1
29,28,0,0
31,11,0,0
17,45,0,0
15,15,0,0
34,14,1,0
10,5,0,0
25,24,0,1
37,13,0,0
31,29,0,0
39,22,0,1
30,20,0,1
34,27,1,1
9,9,0,0
9,34,0,1
14,35,0,1
10,23,0,1
23,38,1,1
30,47,0,0
1,4,0,1
24,34,1,1
27,16,1,1
10,18,0,1
6,36,1,1
47,20,0,1
13,25,0,0
16,14,1,0
25,47,0,0
2,10,1,0
44,26,1,1
1,18,0,1
15,24,0,1
22,19,1,1
20,43,1,0
25,19,0,1
10,21,0,1
23,36,1,1
26,8,1,1
32,1,0,0
50,12,0,1
24,7,1,0
16,14,1,0
7,24,0,1
33,26,0,1
23,30,1,0
48,50,0,0
35,43,1,0
19,3,1,0
29,39,0,0
6,24,1,1
6,46,1,1
15,12,0,1
25,11,0,0
8,5,1,0
32,4,0,1
12,36,1,1
10,7,0,0
23,37,1,0
16,18,1,1
44,17,1,0
15,30,0,0
26,19,1,1
47,47,0,0
30,41,0,1
45,22,0,1
37,42,0,0
27,23,1,1
8,35,1,1
31,30,0,0
13,45,0,0
23,18,1,1
27,43,1,0
17,37,0,0
1,24,0,1
11,22,0,1
45,28,0,0
42,7,0,0
30,23,0,1
30,21,0,1
37,46,0,1
21,3,1,0
14,28,0,0
1,19,0,1
4,45,1,0
31,26,0,1
24,49,1,0
12,39,1,0
39,2,0,1
45,2,0,1
36,46,1,1
23,7,1,0
46,2,1,1
48,9,0,0
48,11,0,0
1,28,0,0
48,44,0,1
36,24,1,1
9,50,0,0
9,43,0,0
5,20,0,1
3,47,0,0
23,38,1,1
30,11,0,0
23,3,1,0
20,11,0,1
