"V1","V2"
1,0.0689655172413793
2,0.330188679245283
3,0.714975845410628
4,1
5,0.727722772277228
6,0.375634517766497
7,0.674757281553398
8,1
9,0.329842931937173
10,0.0825242718446602
11,0.05
12,0.387755102040816
13,1
14,0.658767772511848
15,0.0323886639676113
16,1
17,0.0462962962962963
18,0.329608938547486
19,0.701657458563536
20,0.173913043478261
21,0.0309278350515464
22,0.3
23,0.365979381443299
24,0.14622641509434
25,0.651376146788991
26,0.0841584158415842
27,0.15311004784689
28,0.0616740088105727
29,1
30,0.158163265306122
31,0.331491712707182
32,0.315789473684211
33,0.0303030303030303
34,1
35,0.333333333333333
36,0.678571428571429
37,0.692307692307692
38,0.228155339805825
39,0.358974358974359
40,1
41,0.729468599033816
42,0.38659793814433
43,0.348837209302326
44,0.0618556701030928
45,0.0588235294117647
46,0.0694444444444444
47,0.690721649484536
48,1
49,0.672316384180791
50,0.0784313725490196
